rule_id,rule_group,institution,product,archetype,source_product,target_product,metric,window,operator,threshold,effect_kind,effect_value,effect_unit,attribution_rule,inclusion_set,exclusion_set,history_condition_set,cap_pp,reversible,retroactive_restore,recalc_frequency,source_url,source_doc,evidence_span,clause_hash,clause_locator,last_verified_at,verbatim_confidence,status
KBANK_CAP,KBANK_SUPPORT,케이뱅크,주거래우대 자유적금,A8_EFFECT_MAPPING,-,적금,preferential_cap,POINT,<=,0.6,cap,0.6,pct,,,,,0.6,FALSE,FALSE,-,https://www.kbanknow.com/web/product/deposit/primary-saving,JSON-LD schema.org FinancialProduct,최고 연 0.60%,f434dc02a465a4db9ec362bc5eaf7c42840962b6feae786b35733dd5f7feeda2,최고 연 0.60%,2026-08-16,VERBATIM,ACTIVE
HANA_HISTORY_SAVINGS,HANA_HISTORY_SAVINGS,하나은행,"오늘부터, 하나 적금",A7_ELIGIBILITY_HISTORY|A3_TIME_WINDOW_CONSTRAINT,과거 상품 보유이력,적금,prior_product_holding,6M,==,0,rate_bonus,4.7,pp,,,,polarity=must_not_hold;lookback_months=6;reference_point=가입 전일;items=입출금예금|적립식예금|정기예금|신탁|외화예금|여신|투자상품(펀드);excluded_from_items=신탁 DB|신탁 DC|기업형IRP,,FALSE,FALSE,-,https://www.kebhana.com/cont/mall/mall08/mall0801/mall080102/1510520_115157.jsp,웹페이지,이 예금의 가입 전일 기준 6개월 동안 하나은행 상품(주1)을 미보유한 경우,515f72eb0d4e33e4a74e069c0fd10702509e55891f3c5476de964a41c70ef197,가입 전일 기준 6개월 동안,2026-08-28,VERBATIM,ACTIVE
HF_CHECK_CYCLE,HF_DIDIMDOL_SUPPORT,한국주택금융공사,내집마련 디딤돌대출,A4_MAINTENANCE_RECALCULATION,청약(종합)저축,주택담보대출,cancellation_check_cycle,6M,==,6,eligibility,,,,,,,,FALSE,FALSE,-,https://www.hf.go.kr/cms/etcResourceDown.do?site=$cms$NYeyA&key=$cms$M4VwRgDAjA+qmwgJhtGSBsENKQOgAcATAMyA,업무처리기준 2026-06-22판,6개월 단위로 청약(종합)저축 통장 해지 여부를 확인,97367d3e8d2ff969cce593c962097cb5efc56700b5b51afff64f7d0b4ce42e41,6개월 단위로 청약(종합)저축 통장 해지 여부를 확인,2026-08-16,VERBATIM,ACTIVE
HF_EXEMPT_WINNING,HF_DIDIMDOL_SUPPORT,한국주택금융공사,내집마련 디딤돌대출,A6_EXCEPTION_EXCLUSION,청약(종합)저축,주택담보대출,cancellation_reason,POINT,==,,eligibility,,,,,본 건 목적물 당첨에 따른 해지,,,FALSE,FALSE,-,https://www.hf.go.kr/cms/etcResourceDown.do?site=$cms$NYeyA&key=$cms$M4VwRgDAjA+qmwgJhtGSBsENKQOgAcATAMyA,업무처리기준 2026-06-22판,"다만, 본 건 목적물 당첨에 따라 해지된 계좌에 대해 우대금리를 적용한 경우 해지 여부 확인대상에서 제외",13b0499f22d6f5e4ad67842d1da6958f81f35f7c977ad631b834a65997c568d3,본 건 목적물 당첨에 따라 해지된 계좌,2026-08-16,RECONSTRUCTED,ACTIVE
HF_EFFECT_TIMING,HF_DIDIMDOL_SUPPORT,한국주택금융공사,내집마련 디딤돌대출,A4_MAINTENANCE_RECALCULATION,청약(종합)저축,주택담보대출,effect_start,POINT,==,,eligibility,,,,,,,,FALSE,FALSE,-,https://www.hf.go.kr/cms/etcResourceDown.do?site=$cms$NYeyA&key=$cms$M4VwRgDAjA+qmwgJhtGSBsENKQOgAcATAMyA,업무처리기준 2026-06-22판,"해지가 확인되는 경우, 해지가 확인된 날의 익일(원리금 균등 분할상환 및 체증식 분할상환의 경우 확인된 날 이후 최초 도래하는 이자납입일 익일)부터 우대금리 적용을 제외",3a9c4031677e05ed340befe183104fa5f5227de1c7d0233c47e4ce8b435d5f8f,해지가 확인된 날의 익일,2026-08-16,VERBATIM,ACTIVE
HF_RATE_FLOOR,HF_DIDIMDOL_SUPPORT,한국주택금융공사,내집마련 디딤돌대출,A8_EFFECT_MAPPING,청약(종합)저축,주택담보대출,final_rate_floor,POINT,>=,1.5,eligibility,1.5,pct,,,,,,FALSE,FALSE,-,https://www.hf.go.kr/cms/etcResourceDown.do?site=$cms$NYeyA&key=$cms$M4VwRgDAjA+qmwgJhtGSBsENKQOgAcATAMyA,업무처리기준 2026-06-22판,우대금리 적용 결과 최종 대출금리가 1.5% 미만인 경우에는 1.5% 적용,e050581a08422436571d4f6be8f6a05439fbe57c87dbc96c0f1b712b0bb8915f,최종 대출금리가 1.5% 미만인 경우,2026-08-16,VERBATIM,ACTIVE
HF_RATE_FLOOR_NEWLYWED,HF_DIDIMDOL_SUPPORT,한국주택금융공사,내집마련 디딤돌대출,A8_EFFECT_MAPPING,청약(종합)저축,주택담보대출,final_rate_floor,POINT,>=,1.2,eligibility,1.2,pct,,,,,,FALSE,FALSE,-,https://www.hf.go.kr/cms/etcResourceDown.do?site=$cms$NYeyA&key=$cms$M4VwRgDAjA+qmwgJhtGSBsENKQOgAcATAMyA,업무처리기준 2026-06-22판,생애최초 신혼가구인 경우에는 우대금리 적용 후 최종 대출금리가 연 1.2% 미만인 경우 연 1.2% 적용,87c5b5488a5aaa4a9cb198b36ded6073de4836eada53451c2c7bf1d809207576,최종 대출금리가 1.2% 미만인 경우 (생애최초 신혼가구),2026-08-28,VERBATIM,ACTIVE
HF_CAP,HF_DIDIMDOL_SUPPORT,한국주택금융공사,내집마련 디딤돌대출,A8_EFFECT_MAPPING,청약(종합)저축,주택담보대출,preferential_cap,POINT,<=,,eligibility,,,,,,,,FALSE,FALSE,-,https://www.hf.go.kr/cms/etcResourceDown.do?site=$cms$NYeyA&key=$cms$M4VwRgDAjA+qmwgJhtGSBsENKQOgAcATAMyA,업무처리기준 2026-06-22판,우대금리 적용 상한은 최대 0.5%p(다자녀 가구는 최대 0.7%p),ae5e1b62d3ade4d944b12886d1853aa895d310b61add3a17e443669f8a3fc9cc,우대금리 적용 상한은 최대 0.5%p,2026-08-16,VERBATIM,ACTIVE
HF_LATE_PAYMENT,HF_DIDIMDOL_SUPPORT,한국주택금융공사,내집마련 디딤돌대출,A6_EXCEPTION_EXCLUSION,청약(종합)저축,주택담보대출,payment_count_eligibility,6M,==,,eligibility,,,,,,,,FALSE,FALSE,-,https://www.hf.go.kr/cms/etcResourceDown.do?site=$cms$NYeyA&key=$cms$M4VwRgDAjA+qmwgJhtGSBsENKQOgAcATAMyA,업무처리기준 2026-06-22판,대출접수일 이전 6개월 이내 연체납입 회차에 대해 일괄 납부한 경우 우대금리 회차 인정대상에서 제외(미도래 약정납입 회차에 대해 선납한 경우 우대금리 회차 인정대상에 포함),096a40cbdb60e9acdb4c74c1b3f103dc5f9cc9e7a3f3a00dc6b780f6f8fe60fb,연체납입 회차에 대해 일괄 납부한 경우,2026-08-16,VERBATIM,ACTIVE
SHINHYUP_AUTO_TRANSFER,SHINHYUP_PLUS_SAVINGS,신협중앙회,플러스정기적금(신한카드연계형) 10차,A1_THRESHOLD_STEP|A2_ATTRIBUTION,적금,적금,auto_transfer_ratio,계약기간,>=,0.6667,rate_bonus,0.2,pp,이 적금을 개설한 신협에서 개설된 본인 명의 자유입출금식 예금,,,,,TRUE,FALSE,,https://www.cu.co.kr/product/ad/fnncGoods/selectFnncGoodsDpstInfo50.do?fnncGoodsSn=1080,"상품페이지 이율 안내(조회일 2026-08-16, 준법감시인 심의필 제2026-113호)","이 적금을 개설한 신협에서 개설된 본인 명의 자유입출금식 예금에 연결하여 자동이체를 약정하고, 총 납입 횟수의 2/3 이상 자동이체로 납입한 경우",8bc428ff8d2d568808a7cf89d8e353ec31e1e74cb9763fa90a5ccbb102f33213,자동이체를 약정하고,2026-08-16,VERBATIM,ACTIVE
SHINHYUP_SALARY,SHINHYUP_PLUS_SAVINGS,신협중앙회,플러스정기적금(신한카드연계형) 10차,A1_THRESHOLD_STEP,적금,적금,salary_transfer_months,가입월~만기 전전월,>=,3,rate_bonus,0.1,pp,,,,consecutive=true;min_amount=500000,,TRUE,FALSE,,https://www.cu.co.kr/product/ad/fnncGoods/selectFnncGoodsDpstInfo50.do?fnncGoodsSn=1080,"상품페이지 이율 안내(조회일 2026-08-16, 준법감시인 심의필 제2026-113호)",이 적금의 가입일이 속한 월부터 만기일 전전월까지 연속 3개월 기간 동안 월 50만원 이상 급여 이체 실적이 존재하는 경우,bf595873ee064cae5dddd9f0192a93d2c346b5946e06683b8ec0cf9ec66801b5,급여 이체 실적이 존재하는 경우,2026-08-16,VERBATIM,ACTIVE
SHINHYUP_CARD_ACCOUNT,SHINHYUP_PLUS_SAVINGS,신협중앙회,플러스정기적금(신한카드연계형) 10차,A2_ATTRIBUTION|A5_TERMINATION_LOSS_EVENT,적금,적금,card_payment_account,적금 만기 해지시까지,==,1,rate_bonus,0.2,pp,"신협-신한제휴카드의 결제계좌로 신협계좌 등록, 적금 만기 해지시까지 유지",,,,,TRUE,FALSE,,https://www.cu.co.kr/product/ad/fnncGoods/selectFnncGoodsDpstInfo50.do?fnncGoodsSn=1080,"상품페이지 이율 안내(조회일 2026-08-16, 준법감시인 심의필 제2026-113호)",우대 대상 신협-신한제휴카드의 결제계좌로 신협계좌를 등록(적금 만기 해지시까지 유지)한 경우,c9d8933ab432f9e22fe6ac9963de631cb20e2f65ca36095f12991115f07c2a46,결제계좌로 신협계좌를 등록,2026-08-16,VERBATIM,ACTIVE
SHINHYUP_CARD_USAGE_T1,SHINHYUP_PLUS_SAVINGS,신협중앙회,플러스정기적금(신한카드연계형) 10차,A1_THRESHOLD_STEP,적금,적금,card_usage_count,계약기간,>=,4,rate_bonus,2.5,pp,,,,consecutive=false,,TRUE,FALSE,,https://www.cu.co.kr/product/ad/fnncGoods/selectFnncGoodsDpstInfo50.do?fnncGoodsSn=1080,"상품페이지 이율 안내(조회일 2026-08-21, 준법감시인 심의필 제2026-113호(2026.6.11.) 유효기간 2026.6.26.~2026.10.31.)",적금 가입월 포함 9개월 간 매월 10만원 이상 이용한 횟수가 4회 이상 7회 이하인 경우,bb342e1481611d364f39ec38476abf3f0e8b7ed02e207726d60f8c2723327e95,우대이율 표 · 신한카드 이용실적 4회 이상 7회 이하 구간 (연 2.5%p),2026-08-28,VERBATIM,ACTIVE
SHINHYUP_CARD_USAGE_T2,SHINHYUP_PLUS_SAVINGS,신협중앙회,플러스정기적금(신한카드연계형) 10차,A1_THRESHOLD_STEP,적금,적금,card_usage_count,계약기간,>=,8,rate_bonus,5.0,pp,,,,consecutive=false,,TRUE,FALSE,,https://www.cu.co.kr/product/ad/fnncGoods/selectFnncGoodsDpstInfo50.do?fnncGoodsSn=1080,"상품페이지 이율 안내(조회일 2026-08-21, 준법감시인 심의필 제2026-113호(2026.6.11.) 유효기간 2026.6.26.~2026.10.31.)",적금 가입월 포함 9개월 간 매월 10만원 이상 이용한 횟수가 8회 이상인 경우,87e55f36049af004d07d09cc587122d68ab75fdd2d3314afc1a5c3bf13ab1dac,우대이율 표 · 신한카드 이용실적 8회 이상 구간 (인접 셀 연 5.0%p),2026-08-28,VERBATIM,ACTIVE
NH_SUBSCRIPTION_DIDIMDOL_T1,NH_SUBSCRIPTION_DIDIMDOL,NH농협은행,내집마련 디딤돌대출,A5_TERMINATION_LOSS_EVENT|A6_EXCEPTION_EXCLUSION|A7_ELIGIBILITY_HISTORY,청약저축,주택담보대출,subscription_months,가입기간,>=,60,rate_discount,0.3,pp,,,,,0.5,FALSE,FALSE,,https://banking.nonghyup.com/content/html/ip/mk/el/el40000187.html,"상품페이지 대출금리·우대금리2 가항(조회일 2026-08-21, 준법감시인심의필 2025-1067 유효기간 2025.01.08~2025.12.31 — 만료)","가. 청약(종합)저축 가입기간(납입회차)에 따라 5년(60회차)이상인 경우 연 0.3%p, 10년(120회차)이상인 경우 연 0.4%p, 15년(180회차)이상인 경우 연 0.5%p 적용",64cc8ed2a1f8e064764f94787c46b6e060535db471b02b305821c6afc44d32e2,우대금리2 가항,2026-08-21,VERBATIM,ACTIVE
NH_SUBSCRIPTION_DIDIMDOL_T2,NH_SUBSCRIPTION_DIDIMDOL,NH농협은행,내집마련 디딤돌대출,A5_TERMINATION_LOSS_EVENT|A6_EXCEPTION_EXCLUSION|A7_ELIGIBILITY_HISTORY,청약저축,주택담보대출,subscription_months,가입기간,>=,120,rate_discount,0.4,pp,,,,,0.5,FALSE,FALSE,,https://banking.nonghyup.com/content/html/ip/mk/el/el40000187.html,"상품페이지 대출금리·우대금리2 가항(조회일 2026-08-21, 준법감시인심의필 2025-1067 유효기간 2025.01.08~2025.12.31 — 만료)","가. 청약(종합)저축 가입기간(납입회차)에 따라 5년(60회차)이상인 경우 연 0.3%p, 10년(120회차)이상인 경우 연 0.4%p, 15년(180회차)이상인 경우 연 0.5%p 적용",64cc8ed2a1f8e064764f94787c46b6e060535db471b02b305821c6afc44d32e2,우대금리2 가항,2026-08-21,VERBATIM,ACTIVE
NH_SUBSCRIPTION_DIDIMDOL_T3,NH_SUBSCRIPTION_DIDIMDOL,NH농협은행,내집마련 디딤돌대출,A5_TERMINATION_LOSS_EVENT|A6_EXCEPTION_EXCLUSION|A7_ELIGIBILITY_HISTORY,청약저축,주택담보대출,subscription_months,가입기간,>=,180,rate_discount,0.5,pp,,,,,0.5,FALSE,FALSE,,https://banking.nonghyup.com/content/html/ip/mk/el/el40000187.html,"상품페이지 대출금리·우대금리2 가항(조회일 2026-08-21, 준법감시인심의필 2025-1067 유효기간 2025.01.08~2025.12.31 — 만료)","가. 청약(종합)저축 가입기간(납입회차)에 따라 5년(60회차)이상인 경우 연 0.3%p, 10년(120회차)이상인 경우 연 0.4%p, 15년(180회차)이상인 경우 연 0.5%p 적용",64cc8ed2a1f8e064764f94787c46b6e060535db471b02b305821c6afc44d32e2,우대금리2 가항,2026-08-21,VERBATIM,ACTIVE
NH_DIDIMDOL_LOSS_EVENT,NH_DIDIMDOL_SUPPORT,NH농협은행,내집마련 디딤돌대출,A5_TERMINATION_LOSS_EVENT,청약저축,주택담보대출,subscription_terminated,대출기간,==,1,rate_loss,,,,,본 건 목적물 당첨에 따른 해지,,,FALSE,FALSE,,https://banking.nonghyup.com/content/html/ip/mk/el/el40000187.html,상품페이지 대출금리·우대금리2 단서(조회일 2026-08-21),"단, 대출기간 중 금리우대에 적용된 청약(종합)저축 해지시 금리우대 적용이 제외되며, 대출기간 중 금리우대 조건을 충족하더라도 금리우대 적용 불가",ca3a5c24ed3e6de4abf6edcecf264af017982d5c26d46d348c19807e1c63c450,우대금리2 단서,2026-08-21,VERBATIM,ACTIVE
NH_DIDIMDOL_EXEMPT_WINNING,NH_DIDIMDOL_SUPPORT,NH농협은행,내집마련 디딤돌대출,A6_EXCEPTION_EXCLUSION,청약저축,주택담보대출,termination_reason,대출기간,==,1,exemption,,,,,본 건 목적물 당첨에 따른 해지,,,TRUE,TRUE,,https://banking.nonghyup.com/content/html/ip/mk/el/el40000187.html,상품페이지 대출금리·우대금리2 단서(조회일 2026-08-21),신규 분양아파트(담보목적물) 당첨에 따라 해지된 계좌도 포함함,9e164ead24c43225f4aded98e502b832a8ae0a3c1b41a3fc02f9292ecf565728,우대금리2 당첨 예외,2026-08-21,VERBATIM,ACTIVE
NH_DIDIMDOL_HISTORY_CARRY,NH_DIDIMDOL_SUPPORT,NH농협은행,내집마련 디딤돌대출,A7_ELIGIBILITY_HISTORY,청약저축,주택담보대출,transfer_carryover,가입기간,==,1,eligibility,,,,,,carry_over=true,,TRUE,FALSE,,https://banking.nonghyup.com/content/html/ip/mk/el/el40000187.html,상품페이지 대출금리·우대금리2 가항 괄호(조회일 2026-08-21),"청약예금, 청약부금, 청약저축을 주택청약종합저축 또는 청년 주택드림 청약통장으로 전환 가입하는 경우 기존 청약(종합)저축, 청약예금, 청약부금의 납입기간 및 회차를 포함함",f2869fa393cf5aefc6fd34e8bc23a939e1f63cce71a421e2267edd8b64cee2dd,우대금리2 가항 전환가입 괄호,2026-08-21,VERBATIM,ACTIVE
NH_DIDIMDOL_LATE_PAYMENT,NH_DIDIMDOL_SUPPORT,NH농협은행,내집마련 디딤돌대출,A6_EXCEPTION_EXCLUSION,청약저축,주택담보대출,late_payment_lumpsum,6개월,==,1,exclusion,,,,,일괄 납부한 연체납입 회차,,,FALSE,FALSE,,https://banking.nonghyup.com/content/html/ip/mk/el/el40000187.html,상품페이지 대출금리·우대금리2 가항 단서(조회일 2026-08-21),"다만, 대출신청일 이전 6개월 이내 연체납입 회차에 대해 일괄 납부한 경우 우대금리 회차 인정대상에서 제외",bc754f1e5c7668962a6bc3937af70e5bed3c2e4683261c6e2c65ff75f511a24c,우대금리2 가항 연체납입 단서,2026-08-21,VERBATIM,ACTIVE
NH_DIDIMDOL_RATE_FLOOR,NH_DIDIMDOL_SUPPORT,NH농협은행,내집마련 디딤돌대출,A8_EFFECT_MAPPING,주택담보대출,주택담보대출,final_rate_floor,대출기간,<,1.5,rate_floor,1.5,pct,,,,,,FALSE,FALSE,,https://banking.nonghyup.com/content/html/ip/mk/el/el40000187.html,상품페이지 대출금리 일반가구 기준금리 각주(조회일 2026-08-21),우대금리 적용 후 최종금리가 1.50% 미만인 경우에는 1.50%를 적용,90c89dfd1ad698bf23e81bfd58bfe91eb981116b0fa735a137e48d57aa4fa40b,일반가구 기준금리 각주,2026-08-21,VERBATIM,ACTIVE
WOORI_COUPON_ELIGIBILITY,WOORI_RATE_COUPON,우리은행,금리우대쿠폰,A7_ELIGIBILITY_HISTORY,신용대출,신용대출,existing_loan_count,신청일,==,0,eligibility,,,,,,,,FALSE,FALSE,,https://spot.wooribank.com/pot/Dream?PRD_CD=P020000260&PRD_YN=Y&cc=c010528%3Ac010531%3Bc012425%3Ac012399&withyou=POLON0057,"금리우대쿠폰 발급 안내 팝업(조회일 2026-08-21, 준법감시인 심의필 2023-4573 유효기간 2023.05.25~2024.12.31 — 만료)",■ 발급대상 : 신청일 현재 우리은행 대출이 없는 고객,7e6c68b804474fde02f620317823b022fd139b9d734ecffbaa20fc56237df3ec,금리우대쿠폰 발급 안내 · 발급대상,2026-08-21,VERBATIM,ACTIVE
