rule_id,status,rate_evidence_span,evidence_locator,source_url,acquired_at,method,note
KBANK_CAP,ALREADY_GROUNDED,,"기존 evidence_span ""최고 연 0.60%"" 유지",https://www.kbanknow.com/web/product/deposit/primary-saving,2026-08-21,—,변동 없음
HANA_HISTORY_SAVINGS,ADDED,첫거래우대 (연 4.70%) — 이 예금의 가입 전일 기준 6개월 동안 하나은행 상품을 미보유한 경우,조건 문장 자체가 근거 (threshold=0은 미보유 조건 인코딩),https://www.kebhana.com/cont/mall/mall08/mall0801/mall080102/1510520_115157.jsp,2026-08-28,"원문 재조회 확인 (2026-08-28, mvp/demo_rules.json ledger_reconfirmed_2026-08-28 인용)","2026-08-31: 원장 effect_value가 (빈 값)->4.7, effect_kind가 rate_discount->rate_bonus로 정정되면서 SENTINEL 취급을 벗어나 실수치 검증 대상이 됨 — 우대폭 4.70% 접지용 원문 추가 (구 note: '수치 검증 대상 아님', 그때는 effect_value가 비어 있어서 맞는 판단이었음)."
HF_CHECK_CYCLE,ALREADY_GROUNDED,,"기존 evidence_span ""6개월 단위"" 유지",https://www.hf.go.kr/cms/etcResourceDown.do?site=$cms$NYeyA&key=$cms$M4VwRgDAjA+qmwgJhtGSBsENKQOgAcATAMyA,2026-08-21,—,변동 없음
HF_EXEMPT_WINNING,NO_NUMERIC,,수치 필드 없음 — 예외 문장 자체가 근거 (PDF 16쪽에서 원문 재확인),https://www.hf.go.kr/cms/etcResourceDown.do?site=$cms$NYeyA&key=$cms$M4VwRgDAjA+qmwgJhtGSBsENKQOgAcATAMyA,2026-08-21,PDF 원문 재확인,"16쪽: ""본건 목적물 당첨에 따라 해지된 계좌 포함"" 확인"
HF_EFFECT_TIMING,NO_NUMERIC,,수치 필드 없음 — 시행 시점 서술이 근거,https://www.hf.go.kr/cms/etcResourceDown.do?site=$cms$NYeyA&key=$cms$M4VwRgDAjA+qmwgJhtGSBsENKQOgAcATAMyA,2026-08-21,—,변동 없음
HF_RATE_FLOOR,ALREADY_GROUNDED,,"기존 evidence_span ""1.5% 미만인 경우에는 1.5%"" 유지",https://www.hf.go.kr/cms/etcResourceDown.do?site=$cms$NYeyA&key=$cms$M4VwRgDAjA+qmwgJhtGSBsENKQOgAcATAMyA,2026-08-21,—,변동 없음
HF_CAP,NO_NUMERIC,우대금리 적용 상한은 최대 0.5%p(다자녀 가구는 최대 0.7%p),업무처리기준 PDF 15쪽 (2026-08-21 취득본),https://www.hf.go.kr/cms/etcResourceDown.do?site=$cms$NYeyA&key=$cms$M4VwRgDAjA+qmwgJhtGSBsENKQOgAcATAMyA,2026-08-21,PDF 원문 추출,effect 필드는 비어 있음 — 15쪽 원문·위치만 보강 (필드 채움은 원장 v4 검토사항)
HF_LATE_PAYMENT,NO_NUMERIC,,수치 필드 없음 — 연체납입 예외 문장이 근거 (PDF 16쪽에서 원문 재확인),https://www.hf.go.kr/cms/etcResourceDown.do?site=$cms$NYeyA&key=$cms$M4VwRgDAjA+qmwgJhtGSBsENKQOgAcATAMyA,2026-08-21,PDF 원문 재확인,"16쪽: ""연체납입 회차에 대해 일괄 납부한 경우 우대금리 회차 인정대상에서 제외"" 확인"
SHINHYUP_AUTO_TRANSFER,ADDED,"이 적금을 개설한 신협에서 개설된 본인 명의 자유입출금식 예금에 연결하여 자동이체를 약정하고, 총 납입 횟수의 2/3 이상 자동이체로 납입한 경우 연0.2%p",상품페이지 이율 안내 · 우대이율 표 (심의필 제2026-113호 · 유효기간 2026.6.26~2026.10.31 확인),https://www.cu.co.kr/product/ad/fnncGoods/selectFnncGoodsDpstInfo50.do?fnncGoodsSn=1080,2026-08-21,WebFetch 인용,우대폭 0.2%p 접지 완료 · threshold 0.6667은 센티넬(2/3)
SHINHYUP_SALARY,ADDED,이 적금의 가입일이 속한 월부터 만기일 전전월까지 연속 3개월 기간 동안 월 50만원 이상 급여 이체 실적이 존재하는 경우 연0.1%p,상품페이지 이율 안내 · 우대이율 표,https://www.cu.co.kr/product/ad/fnncGoods/selectFnncGoodsDpstInfo50.do?fnncGoodsSn=1080,2026-08-21,WebFetch 인용,우대폭 0.1%p 접지 완료
SHINHYUP_CARD_ACCOUNT,ADDED,우대 대상 신협-신한제휴카드의 결제계좌로 신협계좌를 등록(적금 만기 해지시까지 유지)한 경우 연0.2%p,상품페이지 이율 안내 · 우대이율 표,https://www.cu.co.kr/product/ad/fnncGoods/selectFnncGoodsDpstInfo50.do?fnncGoodsSn=1080,2026-08-21,WebFetch 인용,우대폭 0.2%p 접지 완료
NH_DIDIMDOL_LOSS_EVENT,ADDED,신규 분양아파트(담보목적물) 당첨에 따라 해지된 계좌도 포함함 — 본 건 목적물 당첨에 따른 해지,상품페이지 우대금리2 단서 (해지 예외 원문),https://banking.nonghyup.com/content/html/ip/mk/el/el40000187.html,2026-08-23,브라우저 원문 추출,exclusion_set(당첨 해지) 접지 완료
NH_DIDIMDOL_EXEMPT_WINNING,ADDED,신규 분양아파트(담보목적물) 당첨에 따라 해지된 계좌도 포함함 — 본 건 목적물 당첨에 따른 해지,상품페이지 우대금리2 단서 (해지 예외 원문),https://banking.nonghyup.com/content/html/ip/mk/el/el40000187.html,2026-08-23,브라우저 원문 추출,exclusion_set(당첨 해지) 접지 완료
SHINHYUP_CARD_USAGE_T2,ADDED,적금 가입월 포함 9개월 간 매월 10만원 이상 이용한 횟수가 8회 이상인 경우 — 연 5.0%p,상품페이지 이율 안내 · 우대이율 표 인접 셀 (4회 이상 7회 이하 구간은 연 2.5%p 별도),https://www.cu.co.kr/product/ad/fnncGoods/selectFnncGoodsDpstInfo50.do?fnncGoodsSn=1080,2026-08-21,원문 소스 확인 (HTML 표 셀 직접 대조),"우대폭 5.0%p 접지 완료 — ✅ 원장 evidence_span 교체 완료 (2026-08-21, 구 인용=목차 제목 ""다. 우대금리별 이용실적 횟수 충족(연속 여부 따지지 않음)"" / 구 hash 170268cc… → 신 hash 87e55f36…) | 2026-08-31: 원장 rule_id를 SHINHYUP_CARD_USAGE -> SHINHYUP_CARD_USAGE_T2로 개명(신협 최종 수정 요청 반영, 8회 이상 tier와 T1(4~7회) tier를 분리) — 근거 원문/값은 변경 없음, id만 원장과 동기화."
SHINHYUP_CARD_USAGE_T1,ADDED,적금 가입월 포함 9개월 간 매월 10만원 이상 이용한 횟수가 4회 이상 7회 이하인 경우 연 2.5%p,"상품페이지 이율 안내 · 우대이율 표 인접 셀 (8회 이상 구간은 연 5.0%p, SHINHYUP_CARD_USAGE_T2 참고)",https://www.cu.co.kr/product/ad/fnncGoods/selectFnncGoodsDpstInfo50.do?fnncGoodsSn=1080,2026-08-31,"원문 소스 재확인 (mvp/demo_rules.json ledger_reconfirmed_2026-08-28 인용, 2026-08-31 원장 반영 시 대조)","우대폭 2.5%p 접지 완료 — 신원 승인으로 원장에 신규 tier 행 추가(2026-08-31, Butterfin 최종 수정 요청 항목 B)"
